test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0.3760916,0.000899096568784,0.3746019,0.000186770152862
0.3759873,0.00090405144212,0.3744895,0.000187186137307
0.3758829,0.000910265834798,0.3743764,0.000184449017346
0.375781,0.000912449231464,0.3742671,0.000184116512024
0.3756813,0.000909995170317,0.3741589,0.0001848169094
0.3755848,0.000912916622699,0.3740549,0.000182060676699
0.3754913,0.00091573839605,0.3739529,0.000178538763298
0.3754011,0.000914872936533,0.3738531,0.000180706640719
0.3753153,0.000915573377726,0.3737587,0.000183197188843
0.3752319,0.000916021882926,0.3736655,0.000186282715248
0.3751497,0.000915709129582,0.3735765,0.000189750494071
0.3750727,0.000915084810277,0.3734903,0.000193324623367
0.3749953,0.000915373590399,0.3734054,0.00019674918043
0.3749211,0.000915794349185,0.3733241,0.000200869335639
0.3748496,0.000917366469847,0.3732466,0.000203166040469
0.3747796,0.000917764370631,0.3731684,0.000206415697078
0.3747104,0.000916807635221,0.3730913,0.000209917626702
0.3746433,0.000918190835284,0.3730169,0.000209008827565
0.374577,0.000920688546687,0.3729429,0.000210059253545
0.3745127,0.000923765993096,0.3728693,0.000208479759209
0.3744502,0.000925542413939,0.3728009,0.000210442605002
0.374387,0.000926929123504,0.3727309,0.000210116848444
0.3743269,0.0009299090762,0.3726641,0.000208321602336
0.3742672,0.000930795337333,0.3725969,0.000208508728834
0.3742105,0.000929354103666,0.3725332,0.000208795976973
0.3741526,0.00092932579863,0.3724669,0.000207907888258
0.3740969,0.000930891663944,0.3724043,0.000207000990336
0.3740445,0.000931415508782,0.3723439,0.000205310228678
0.3739878,0.000932849484108,0.3722803,0.000204218045236
0.3739402,0.000935522292626,0.3722241,0.000204217751432
0.373889,0.00093557778939,0.372166,0.000204396183917
0.3738367,0.000936480117248,0.3721075,0.000202455056741
0.3737892,0.000938899866865,0.3720516,0.000204273444187
0.3737391,0.000938901001171,0.3719937,0.000207022245182
0.373691,0.000943972245355,0.3719384,0.000205882587899
0.3736439,0.000945737960537,0.3718832,0.000207560978992
0.3735986,0.000945237134268,0.3718305,0.00020946706185
0.3735507,0.00095071699785,0.3717753,0.000207234191194
0.3735072,0.000950694777518,0.3717231,0.000210622149832
0.3734624,0.000952936849954,0.3716719,0.000211065132128
0.37342,0.000957102920276,0.3716219,0.000208031463966
0.3733818,0.000956352529144,0.3715741,0.000209145140991
0.3733405,0.000960541956398,0.3715261,0.00020681559419
0.3732991,0.000961283875866,0.371476,0.00020825513199
0.3732597,0.00096431955803,0.3714276,0.000206476245607
0.3732182,0.000965966024247,0.371379,0.000208288741895
0.3731829,0.000965771655206,0.3713337,0.000206725445942
0.3731412,0.000964998943005,0.3712846,0.000207621386182
0.373103,0.000967670398431,0.3712389,0.000205796234174
0.3730657,0.000968172613742,0.3711936,0.000206445731368
0.3730278,0.000972062631727,0.3711459,0.000206024488836
0.3729883,0.00097269183712,0.371098,0.000207415042849
0.372952,0.000972964028112,0.3710533,0.00020955813036
0.3729193,0.000973841984102,0.3710098,0.000206974781072
0.3728794,0.000975372257141,0.3709625,0.000206929094136
0.3728403,0.000972711473151,0.3709164,0.000208041918853
0.3728036,0.000975120936089,0.3708706,0.000206558079
0.3727697,0.000975010364047,0.3708258,0.000207014395635
0.3727333,0.000977299754425,0.3707813,0.000207543754423
0.3726989,0.000977627173313,0.3707389,0.000207958866125
0.3726668,0.000979841191214,0.3706966,0.00020770373131
0.372633,0.000979323439932,0.3706547,0.00020895695729
0.3725984,0.000976990194424,0.3706115,0.000210016785043
0.3725674,0.000978320826723,0.3705719,0.000210929585407
0.3725376,0.000978035398132,0.3705329,0.000211711336494
0.3725005,0.000981263496722,0.3704855,0.000210019641939
0.3724661,0.0009822458399,0.3704444,0.000209284113109
0.3724342,0.000985932736042,0.3704042,0.00020980076263
0.3724043,0.000985027923462,0.3703648,0.00021145864844
0.3723646,0.000982665375395,0.3703171,0.000215043460724
0.3723335,0.000982377040652,0.3702778,0.000215568921693
0.3723036,0.000983781296834,0.3702385,0.0002171590431
0.3722707,0.000983954678834,0.3701976,0.000217304486838
0.3722408,0.000989123329014,0.3701596,0.000216955387119
0.3722145,0.000988830748915,0.3701232,0.000218574838442
0.3721872,0.000989861283211,0.3700868,0.000219425978407
0.3721601,0.00099046175595,0.3700518,0.000220281093151
0.3721327,0.00098953211671,0.3700141,0.000222350826398
0.3721056,0.000992420797847,0.3699792,0.000220339646909
0.3720807,0.000993597106477,0.3699442,0.000218731250625
0.3720528,0.000992143921011,0.3699094,0.00022160875434
0.3720289,0.000995160936733,0.3698765,0.000218860343598
0.3720002,0.000996880715031,0.369839,0.000219388240341
0.3719754,0.000998296669332,0.3698063,0.000220995950189
